Condition,RedToyReward,YellowToyReward,LearnC,LearnR,TeachC,TeachR,DiscoverC,DiscoverR,ExploreProb,TeacherReward,Decision
Inverted_Rewards,3,1,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,1,1,1,0,1,0,0,1,Variable,RedToy
Inverted_Rewards,3,1,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,2,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,2,3,1,1,0,1,0,0,1,Variable,YellowToy
Unequal_Costs,2,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,2,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,2,3,1,1,0,1,0,0,1,Variable,YellowToy
Equal_Costs,2,3,1,1,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,2,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,2,1,1,0,1,0,0,1,Variable,RedToy
Inverted_Rewards,3,2,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,3,3,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,3,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,3,3,1,1,0,1,0,0,1,Variable,Either
Equal_Costs,3,3,1,1,0,1,1,1,1,Variable,Either
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Inverted_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,4,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,4,3,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,4,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,4,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,4,3,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,4,3,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,4,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,4,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,3,4,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,5,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,5,3,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,5,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,5,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,5,3,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,5,3,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,5,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,3,5,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,3,5,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,6,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,6,3,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,6,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,6,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,6,3,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,6,3,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
